t_index	 term	 df 
1	$	1
2	$1	41
3	$10	5
4	$100	4
5	$1000	7
6	$10000	4
7	$100000	7
8	$108	1
9	$111	1
10	$117	1
11	$12	2
12	$14	2
13	$150	9
14	$15000	2
15	$16	2
16	$170	2
17	$18	2
18	$180	1
19	$18000	3
20	$190000	2
21	$196878	2
22	$2	5
23	$20	3
24	$200	3
25	$2000	9
26	$200000	7
27	$201000	1
28	$22	2
29	$225	1
30	$23	1
31	$2340	1
32	$236693	2
33	$240	3
34	$250	2
35	$2500	2
36	$25000	2
37	$26	2
38	$26000	1
39	$27	1
40	$28000	6
41	$3	3
42	$30	7
43	$300	2
44	$30000	5
45	$300000	5
46	$32000	1
47	$327	2
48	$33	4
49	$34000	2
50	$350	1
51	$36	2
52	$370	1
53	$372	1
54	$38	1
55	$4	6
56	$40	2
57	$4000	1
58	$400000	1
59	$42	2
60	$4350	2
61	$44	3
62	$440000	2
63	$45	2
64	$47	3
65	$473385	2
66	$475000	1
67	$48	9
68	$480	1
69	$5	16
70	$50	7
71	$500	4
72	$5000	4
73	$50000	3
74	$500000	9
75	$5150	1
76	$58	9
77	$6	2
78	$60	10
79	$600000	2
80	$65	3
81	$65000	1
82	$68	2
83	$70	2
84	$70000	5
85	$75	3
86	$750	2
87	$780	1
88	$8	1
89	$80	3
90	$800	1
91	$80000	1
92	$9	5
93	$90	1
94	$98440	2
95	-	8
96	--	109
97	---	2
98	--samor	1
99	-back	12
100	-base	3
101	-elect	1
102	-impos	1
103	-led	5
104	-north	2
105	-russia	1
106	-russian	4
107	-train	4
108	-vietnam	1
109	-vietnames	3
110	-yemeni	1
111	0	8
112	0-15	6
113	0-6	3
114	0-for-5	1
115	0000	1
116	01:36	1
117	02	2
118	02111-1206	1
119	1	75
120	1-0	6
121	1-2	5
122	1-4	3
123	1-5	1
124	1-6	9
125	1-800-2-hunger	1
126	1-800-225-8550	1
127	1-800-257-7575	2
128	1-800-424-adra	1
129	1-800-521-care	1
130	1-800-535-5433	1
131	1-800-55-crwrc	1
132	1-800-554-8583	1
133	1-800-678-7255	1
134	1-800-736-3467	1
135	1-800-77-oxfam	1
136	1-800-889-7146	1
137	1-800-for-kid	1
138	1-800-help-now	2
139	1-800-lwr-lwr2	1
140	1-800-sponsor	1
141	1-888-392-0392	1
